Категорія ;Назва об'єкта українською мовою;Код
СМТ;АЕРОФЛОТСЬКИЙ;0110165300
СМТ;ГРЕСІВСЬКИЙ;0110165600
Селище;БІТУМНЕ;0110165601
СМТ;КОМСОМОЛЬСЬКЕ;0110165800
СМТ;АГРАРНЕ;0110166200
Місто;АЛУШТА;0110300000
СМТ;ПАРТЕНІТ;0110345400
Село;ІЗОБІЛЬНЕ;0110390901
Село;ВЕРХНЯ КУТУЗОВКА;0110390903
Село;НИЖНЯ КУТУЗОВКА;0110390905
Селище;РОЗОВИЙ;0110390907
Село;ЛУЧИСТЕ;0110391401
Селище;ЛАВАНДА;0110391403
Селище;СЕМИДВІР'Я;0110391405
Село;МАЛИЙ МАЯК;0110391801
Селище;БОНДАРЕНКОВЕ;0110391802
Село;ВИНОГРАДНИЙ;0110391803
Село;ЗАПРУДНЕ;0110391805
Село;КИПАРИСНЕ;0110391807
Село;ЛАВРОВЕ;0110391809
Село;ЛАЗУРНЕ;0110391811
Село;НИЖНЄ ЗАПРУДНЕ;0110391813
Село;ПУШКІНЕ;0110391815
Селище;УТЬОС;0110391817
Селище;ЧАЙКА;0110391818
Село;МАЛОРІЧЕНСЬКЕ;0110392101
Село;ГЕНЕРАЛЬСЬКЕ;0110392103
Село;РИБАЧЕ;0110392105
Село;СОНЯЧНОГІРСЬКЕ;0110392107
Село;ПРИВІТНЕ;0110393001
Село;ЗЕЛЕНОГІР'Я;0110393002
Місто;ДЖАНКОЙ;0110600000
Місто;ЄВПАТОРІЯ;0110900000
СМТ;ЗАОЗЕРНЕ;0110945300
СМТ;МИРНИЙ;0110945600
СМТ;НОВООЗЕРНЕ;0110945800
Місто;КЕРЧ;0111200000
Місто;КРАСНОПЕРЕКОПСЬК;0111300000
Місто;САКИ;0111400000
Місто;АРМЯНСЬК;0111500000
Село;СУВОРОВЕ;0111590101
Село;ВОЛОШИНЕ;0111590102
Село;ПЕРЕКОП;0111590103
Місто;ФЕОДОСІЯ;0111600000
СМТ;КУРОРТНЕ;0111645200
СМТ;ОРДЖОНІКІДЗЕ;0111645400
СМТ;КОКТЕБЕЛЬ;0111645700
Село;НАНІКОВЕ;0111645701
СМТ;ПРИМОРСЬКИЙ;0111646000
СМТ;ЩЕБЕТОВКА;0111646500
Село;КРАСНОКАМ'ЯНКА;0111646501
Село;БЕРЕГОВЕ;0111690301
Село;СТЕПОВЕ;0111690303
Село;НАСИПНЕ;0111692901
Село;БЛИЖНЄ;0111692903
Село;ВИНОГРАДНЕ;0111692905
Село;ПІДГІРНЕ;0111692907
